Date,Open,High,Low,Close
1-January-2016,26101.50,26197.27,26008.20,26160.90,
4-January-2016,26116.52,26116.52,25596.57,25623.35,
5-January-2016,25744.70,25766.76,25513.75,25580.34,
6-January-2016,25628.23,25632.57,25357.70,25406.33,
7-January-2016,25224.70,25230.35,24825.70,24851.83,
8-January-2016,24969.02,25083.55,24887.22,24934.33,
11-January-2016,24787.11,24961.88,24598.90,24825.04,
12-January-2016,24862.93,24882.30,24597.11,24682.03,
13-January-2016,24804.64,24956.54,24387.69,24854.11,
14-January-2016,24606.20,25018.46,24473.22,24772.97,
15-January-2016,24881.76,24912.64,24421.53,24455.04,
18-January-2016,24400.78,24524.85,24141.99,24188.37,
19-January-2016,24257.28,24563.34,24247.23,24479.84,
20-January-2016,24325.77,24325.77,23839.76,24062.04,
21-January-2016,24194.75,24351.83,23862.00,23962.21,
22-January-2016,24122.06,24472.88,24120.04,24435.66,
25-January-2016,24540.97,24650.57,24433.67,24485.95,
27-January-2016,24643.13,24645.70,24458.13,24492.39,
28-January-2016,24481.86,24587.20,24400.52,24469.57,
29-January-2016,24347.31,24911.90,24340.06,24870.69,
1-February-2016,24982.22,25002.32,24788.58,24824.83,
2-February-2016,24868.21,24928.75,24460.53,24539.00,
3-February-2016,24393.59,24409.26,24187.54,24223.32,
4-February-2016,24386.45,24514.01,24224.74,24338.43,
5-February-2016,24360.36,24672.90,24345.79,24616.97,
8-February-2016,24637.41,24698.95,24196.84,24287.42,
9-February-2016,24076.85,24111.19,23919.47,24020.98,
10-February-2016,23938.32,23938.32,23636.72,23758.90,
11-February-2016,23758.46,23758.46,22909.12,22951.83,
12-February-2016,23060.39,23161.15,22600.39,22986.12,
15-February-2016,23223.43,23622.64,23197.67,23554.12,
16-February-2016,23688.61,23692.08,23164.54,23191.97,
17-February-2016,23237.23,23434.91,22920.84,23381.87,
18-February-2016,23536.47,23735.35,23448.21,23649.22,
19-February-2016,23640.32,23774.48,23508.36,23709.15,
22-February-2016,23783.47,23855.04,23674.86,23788.79,
23-February-2016,23850.41,23851.51,23361.94,23410.18,
24-February-2016,23332.94,23338.89,23057.45,23088.93,
25-February-2016,23105.16,23142.96,22948.10,22976.00,
26-February-2016,23141.08,23227.91,23021.94,23154.30,
29-February-2016,23238.50,23343.22,22494.61,23002.00,
1-March-2016,23153.32,23821.49,23133.18,23779.35,
2-March-2016,24044.96,24280.42,24043.89,24242.98,
3-March-2016,24386.67,24640.51,24383.28,24606.99,
4-March-2016,24704.59,24719.05,24531.80,24646.48,
8-March-2016,24655.19,24793.62,24509.21,24659.23,
9-March-2016,24527.27,24820.76,24451.60,24793.96,
10-March-2016,24815.70,24817.48,24471.39,24623.34,
11-March-2016,24620.39,24817.80,24552.26,24717.99,
14-March-2016,24801.70,24960.51,24734.04,24804.28,
15-March-2016,24832.04,24840.77,24517.28,24551.17,
16-March-2016,24537.61,24706.85,24354.55,24682.48,
17-March-2016,24852.18,24948.30,24576.52,24677.37,
18-March-2016,24729.41,24986.94,24681.64,24952.74,
21-March-2016,25007.56,25327.45,24988.27,25285.37,
22-March-2016,25331.01,25381.33,25083.70,25330.49,
23-March-2016,25322.10,25367.81,25156.82,25337.56,
28-March-2016,25417.11,25432.94,24895.49,24966.40,
29-March-2016,24957.24,25079.35,24835.56,24900.46,
30-March-2016,25062.06,25358.84,25055.42,25338.58,
31-March-2016,25364.75,25479.62,25223.22,25341.86,
1-April-2016,25301.70,25354.94,25119.35,25269.64,
4-April-2016,25333.98,25424.15,25223.49,25399.65,
5-April-2016,25372.44,25372.44,24837.51,24883.59,
6-April-2016,24978.86,25000.65,24834.16,24900.63,
7-April-2016,24998.79,25013.13,24647.48,24685.42,
8-April-2016,24665.80,24736.03,24608.51,24673.84,
11-April-2016,24789.40,25049.92,24523.20,25022.16,
12-April-2016,25056.47,25180.02,24996.44,25145.59,
13-April-2016,25358.42,25671.50,25358.42,25626.75,
18-April-2016,25833.16,25870.03,25634.12,25816.36,
20-April-2016,25942.34,25956.34,25716.81,25844.18,
21-April-2016,25979.68,26080.07,25783.12,25880.38,
22-April-2016,25892.49,25922.02,25771.88,25838.14,
25-April-2016,25891.03,25891.03,25585.93,25678.93,
26-April-2016,25604.92,26055.00,25549.05,26007.30,
27-April-2016,25956.42,26092.93,25885.24,26064.12,
28-April-2016,26078.28,26100.54,25561.17,25603.10,
29-April-2016,25612.91,25755.43,25424.03,25606.62,
2-May-2016,25565.44,25565.44,25341.14,25436.97,
3-May-2016,25500.14,25705.96,25192.94,25229.70,
4-May-2016,25210.87,25245.70,25061.04,25101.73,
5-May-2016,25187.66,25394.10,25162.94,25262.21,
6-May-2016,25223.67,25260.48,25057.93,25228.50,
9-May-2016,25321.83,25709.68,25302.86,25688.86,
10-May-2016,25682.98,25809.93,25614.24,25772.53,
11-May-2016,25548.97,25762.49,25409.24,25597.02,
